"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow"
"82_513_229_310","x30","280_CV_2_15kv_x30_BSE","280CV","NKBS",372.937293729373,0.17588662126426,168.324920533003,137.003453611801,144.640164385131,57.7793445544937,163.358002254318,85.6815510610374,178.225461271295,158.40102334148,2.09250289531689,0.00104492323957328
"300_886_203_331","x30","280_CV_3_15kv_x30_BSE","280CV","NKBS",411.341489728688,0.189619011776996,163.332996564615,119.634118550441,125.813866430553,73.2420495748256,164.396525125176,91.2826183890385,159.69130379419,230.719769059339,2.57585403810607,0.00116093511883854
"508_1029_208_287","x30","280_CV_3_15kv_x30_BSE","280CV","NKBS",375.29918863182,0.174310517708509,173.894824763769,135.685313931826,124.23123838927,86.0937126121821,211.027654796453,100.375619311852,193.012882787768,188.195936753016,1.94442559072334,0.00100239048485373
"52_36_221_314","x30","280_CV_3_15kv_x30_BSE","280CV","NKBS",378.632871178136,0.159479326745971,180.676114761333,148.221198500895,126.336767144728,85.458794562535,204.114139882062,115.133752755857,188.819550650915,175.110687935615,2.00526306663097,0.000882680740376987
"528_64_307_331","x30","282_CC_1_15v_x30_BSE","282CC","NKBS",378.21911772107,0.123290553829243,264.737079842306,222.006997476464,157.698266791378,151.456025156221,269.057875194389,155.369849767081,290.175782164693,166.259448418714,1.30341379593976,0.000465709427265281
"466_340_270_331","x30","282_CC_1_15v_x30_BSE","282CC","NKBS",395.613081655522,0.137761443841654,244.235571951367,196.785205226803,159.82799223028,124.234522935437,272.916541167541,178.477380966221,265.096839973904,177.095815395018,1.49233420396285,0.000564051512811926
"183_370_263_311","x30","282_CC_1_15v_x30_BSE","282CC","NKBS",383.055162194878,0.143855659170093,230.88751325194,187.698563654206,165.967773829649,121.374096029263,222.006997476464,144.17003604081,235.158647225394,150.981142157915,1.62892229018365,0.000623055171516013
"64_563_234_324","x30","282_CC_1_15v_x30_BSE","282CC","NKBS",379.667075180512,0.144633558585324,229.586528280067,185.002560380147,156.050933376829,102.310231023102,204.726896624037,115.558689108987,234.346672951508,158.459921527934,1.62010866379603,0.000629974065415934
"33_754_235_289","x30","282_CC_1_15v_x30_BSE","282CC","NKBS",373.291254088027,0.146244683523037,246.632053605567,182.304029356118,162.366815906578,95.2246735726304,185.443603346438,106.534735257881,225.451436371004,155.122561995581,1.65575016995561,0.000592967059167917
"288_743_198_323","x30","282_CC_1_15v_x30_BSE","282CC","NKBS",401.40073230919,0.160514122517732,211.742600903687,155.115511551155,146.231860476764,84.2231033344874,138.62368344896,99.064891219826,175.414947404862,179.469823425857,2.28829263553434,0.000758062486399434
"997_1634_415_664","x30","283_CC_1_10v_x30_BSE","283CC","NKBS",857.014118784065,0.111259377174602,413.6684271277,332.302428333779,321.825645818973,170.925554897177,429.7689971731,262.66667197453,433.148671564577,397.922896419201,1.97856804151896,0.000268957865474843
"520_708_420_646","x30","283_CC_1_10v_x30_BSE","283CC","NKBS",756.425635952899,0.0950688830357597,445.740086662765,400.568847984764,322.203117325645,219.868620905007,422.651685910723,239.160095831876,477.183100041437,292.079323127001,1.58518949201515,0.000213283224642271
"942_464_476_616","x30","283_CC_1_10v_x30_BSE","283CC","NKBS",839.707024518865,0.107906906530014,403.683790845003,348.388097011774,341.600482116374,195.702892266344,404.65397542903,223.406992141519,441.430708339873,361.176581548144,1.9022397143072,0.000267305522235955
"144_1001_502_541","x30","283_CC_1_10v_x30_BSE","283CC","NKBS",725.961962766693,0.0915487830314363,458.309382292687,396.898134350023,306.22556292987,241.539293206344,548.751205069961,345.452498604923,538.897004623535,319.677978043513,1.3471256224069,0.0001997532378095
