"fileName","dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","SignalName","Magnification","Comment","Vacc","Mag","fileName.tif","path.tif"
"0000037_CV_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000037_CV",1,"BSE",30,NA,"15.0kV","x30","0000037_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/037_CV_1_15v_x30_BSE.tif"
"0000037_CV_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000037_CV",2,"BSE",30,NA,"15.0kV","x30","0000037_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/037_CV_2_15v_x30_BSE.tif"
"0000039_CV_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000039_CV",1,"BSE",30,NA,"15.0kV","x30","0000039_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/039_CV_1_15v_x30_BSE.tif"
"000003i_CV_1_15v_x30_BSE","10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000003i_CV",1,"BSE",30,"MHR.1308.BLEED.819","15.0kV","x30","000003i_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/003i_CV_1_15v_x30_BSE.tif"
"000003i_CV_2_15v_x30_BSE","10/10/2018","Mali",NA,NA,NA,NA,"NKBS","000003i_CV",2,"BSE",30,"MHR.1308.BLEED.819","15.0kV","x30","000003i_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/003i_CV_2_15v_x30_BSE.tif"
"0000040_CV_1_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000040_CV",1,"BSE",30,NA,"15.0kV","x30","0000040_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/040_CV_1_15v_x30_BSE.tif"
"0000040_CV_2_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000040_CV",2,"BSE",30,NA,"15.0kV","x30","0000040_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/040_CV_2_15v_x30_BSE.tif"
"0000041_CV_1_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000041_CV",1,"BSE",30,NA,"15.0kV","x30","0000041_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/041_CV_1_15v_x30_BSE.tif"
"0000041_CV_2_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000041_CV",2,"BSE",30,NA,"15.0kV","x30","0000041_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/041_CV_2_15v_x30_BSE.tif"
"0000042_CV_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000042_CV",1,"BSE",30,NA,"15.0kV","x30","0000042_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/042_CV_1_15v_x30_BSE.tif"
"0000042_CV_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000042_CV",2,"BSE",30,NA,"15.0kV","x30","0000042_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/042_CV_2_15v_x30_BSE.tif"
"0000044_CV_1_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000044_CV",1,"BSE",30,NA,"15.0kV","x30","0000044_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/044_CV_1_15v_x30_BSE.tif"
