DATE;SPECIMEN NR;NR OF PICS;AV;MAGNIFICATION;FORMATION;COMMENTS 
06/01/2018;667CC;2;10v;X30;TEWKESBURY;
06/01/2018;668CV;2;10v;X30;TEWKESBURY;
06/01/2018;669CC;3;10v;X30;TEWKESBURY;
06/01/2018;670CV;2;10v;X30;TEWKESBURY;
06/01/2018;671CC;2;10v;X30;TEWKESBURY;
06/01/2018;672CV;2;10v;x30;TEWKESBURY;
6/14/18;673CC;2;10v;x30;TEWKESBURY;
6/14/18;674CV;2;10v;x30;TEWKESBURY;
6/14/18;675CV;2;10v;x30;TEWKESBURY;
6/14/18;676CC;2;10v;x30;TEWKESBURY;
6/14/18;677CV;2;10v;x30;TEWKESBURY;
6/14/18;678CV;2;10v;x30;TEWKESBURY;
6/14/18;679CV;2;10v;x30;TEWKESBURY;
6/14/18;680CC;2;10v;x30;TEWKESBURY;
6/14/18;681CV;2;10v;x30;TEWKESBURY;
6/14/18;682CV;2;10v;x30;TEWKESBURY;
6/14/18;683CV;2;10v;x30;TEWKESBURY;
6/14/18;684CV;2;10v;x30;TEWKESBURY;
6/14/18;685CC;2;10v;x30;TEWKESBURY;
6/14/18;686CV;2;10v;x30;TEWKESBURY;
6/14/18;687CV;2;10v;x30;TEWKESBURY;
6/14/18;688CC;2;10v;x30;TEWKESBURY;
6/14/18;689CV;2;10v;x30;TEWKESBURY;
6/14/18;690CC;2;10v;x30;TEWKESBURY;
6/15/18;691CV;2;10v;x30;TEWKESBURY;
6/15/18;692CC;2;10v;x30;TEWKESBURY;
6/15/18;693CV;2;10v;x30;TEWKESBURY;
6/15/18;694CV;2;10v;x30;TEWKESBURY;
6/15/18;695CV;2;10v;x30;TEWKESBURY;
6/15/18;696CC;2;10v;x30;TEWKESBURY;
6/15/18;697CV;2;10v;x30;TEWKESBURY;
6/15/18;698CV;2;10v;x30;TEWKESBURY;
6/15/18;699CV;2;10v;x30;TEWKESBURY;
6/15/18;600iCV;3;10v;x30;TEWKESBURY;
6/15/18;601iCV;2;10v;x30;TEWKESBURY;
6/15/18;602iCC;2;10v;x30;TEWKESBURY;
6/15/18;603iCV;2;10v;x30;TEWKESBURY;
6/15/18;604iCV;2;10v;x30;TEWKESBURY;
6/15/18;605iCV;2;10v;x30;TEWKESBURY;
6/15/18;606iCC;2;10v;x30;TEWKESBURY;
6/15/18;482CV;2;10v;x30;NKLS;
6/15/18;483CV;2;10v;x30;NKLS;
6/15/18;484CC;2;10v;x30;NKLS;
08/06/2018;1013CC;2;15v;x30;UPPER KAI-IWI SB;
08/06/2018;760CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/06/2018;1014CC;2;15v;x30;UPPER KAI-IWI SB;
08/06/2018;761CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/06/2018;416CV;2;15v;x30;NKLS;
