date;specimen nr.;nr of pics;AV;magnification;formation;Comments
13/03/2018;741CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
14/03/2018;742CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
14/03/2018;743CC;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
14/03/2018;744CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
14/03/2018;745CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
14/03/2018;746CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
26/03/2018;467CC;2;10v;x30;NKLS;
26/03/2018;468CV;2;10v;X30;NKLS;
26/03/2018;469CV;2;10v;x30;NKLS;
26/03/2018;470CV;2;10v;x30;NKLS;
26/03/2018;471CV;3;10v;x30;NKLS;
26/03/2018;472CC;3;10v;x30;NKLS;
26/03/2018;475CC;2;10v;x30;NKLS;
26/03/2018;466CV;3;10v;x30;NKLS;
26/03/2018;476CV;3;10v;x30;NKLS;
26/03/2018;477CV;2;10v;x30;NKLS;
26/03/2018;479CC;3;10v;x30;NKLS;
26/03/2018;481CC;2;10v;x30;NKLS;
05/04/2018;747F;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;732F;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;748CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;749CC;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;750CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;751CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;752CC;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;753CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;755CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;756CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;757CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;758CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
10/04/2018;759CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
11/04/2018;637CC;2;15v;x30;TEWKESBURY;
11/04/2018;638CV;2;15v;x30;TEWKESBURY;
11/04/2018;639CV;2;15v;x30;TEWKESBURY;
11/04/2018;641CV;2;15v;x30;TEWKESBURY;
11/04/2018;642CV;2;15v;x30;TEWKESBURY;
11/04/2018;643CV;2;15v;x30;TEWKESBURY;
11/04/2018;644CV;2;15v;x30;TEWKESBURY;
11/04/2018;646CC;2;15v;x30;TEWKESBURY;
11/04/2018;647CV;2;15v;x30;TEWKESBURY;
11/04/2018;648CC;2;15v;x30;TEWKESBURY;
13/04/2018;649CV;2;15v;x30;TEWKESBURY;
13/04/2018;650CV;2;15v;x30;TEWKESBURY;
13/04/2018;651CC;2;15v;x30;TEWKESBURY;
13/04/2018;652CC;2;15v;x30;TEWKESBURY;
13/04/2018;653CC;2;15v;x30;TEWKESBURY;
13/04/2018;654CV;2;15v;x30;TEWKESBURY;
13/04/2018;655CV;3;15v;x30;TEWKESBURY;
13/04/2018;656CV;2;15v;x30;TEWKESBURY;
13/04/2018;657CV;2;15v;x30;TEWKESBURY;
13/04/2018;658CV;2;15v;x30;TEWKESBURY;
13/04/2018;659CV;2;15v;x30;TEWKESBURY;
24/05/2018;660CV;2;10v;X30;TEWKESBURY;
01/06/2018;661CC;2;10v;X30;TEWKESBURY;
01/06/2018;662CV;2;10v;X30;TEWKESBURY;
01/06/2018;663CC;2;10v;X30;TEWKESBURY;
01/06/2018;664CV;2;10v;X30;TEWKESBURY;
01/06/2018;665CV;3;10v;X30;TEWKESBURY;
01/06/2018;666CV;2;10v;X30;TEWKESBURY;
01/06/2018;667CC;2;10v;X30;TEWKESBURY;
01/06/2018;668CV;2;10v;X30;TEWKESBURY;
01/06/2018;669CC;3;10v;X30;TEWKESBURY;
01/06/2018;670CV;2;10v;X30;TEWKESBURY;
01/06/2018;671CC;2;10v;X30;TEWKESBURY;
01/06/2018;672CV;2;10v;x30;TEWKESBURY;
14/06/2018;673CC;2;10v;x30;TEWKESBURY;
14/06/2018;674CV;2;10v;x30;TEWKESBURY;
14/06/2018;675CV;2;10v;x30;TEWKESBURY;
14/06/2018;676CC;2;10v;x30;TEWKESBURY;
14/06/2018;677CV;2;10v;x30;TEWKESBURY;
14/06/2018;678CV;2;10v;x30;TEWKESBURY;
14/06/2018;679CV;2;10v;x30;TEWKESBURY;
14/06/2018;680CC;2;10v;x30;TEWKESBURY;
14/06/2018;681CV;2;10v;x30;TEWKESBURY;
14/06/2018;682CV;2;10v;x30;TEWKESBURY;
14/06/2018;683CV;2;10v;x30;TEWKESBURY;
14/06/2018;684CV;2;10v;x30;TEWKESBURY;
14/06/2018;685CC;2;10v;x30;TEWKESBURY;
14/06/2018;686CV;2;10v;x30;TEWKESBURY;
14/06/2018;687CV;2;10v;x30;TEWKESBURY;
