"folder","formation","image","ext","imageName","specimenNR","number","colonyCurve","pictureNumber","AV","magnification","backscatter"
"Sara","NKLS","537_CV_1_15V_x30_BSE.txt","txt","537_CV_1_15V_x30_BSE_NKLS","537CV","537","CV","1","15V","x30","BSE"
"Sara","NKLS","537_CV_2_15V_x30_BSE.tif","tif","537_CV_2_15V_x30_BSE_NKLS","537CV","537","CV","2","15V","x30","BSE"
"Sara","NKLS","537_CV_2_15V_x30_BSE.txt","txt","537_CV_2_15V_x30_BSE_NKLS","537CV","537","CV","2","15V","x30","BSE"
"Sara","NKLS","538_CC_1_15V_x30_BSE.tif","tif","538_CC_1_15V_x30_BSE_NKLS","538CC","538","CC","1","15V","x30","BSE"
"Sara","NKLS","538_CC_1_15V_x30_BSE.txt","txt","538_CC_1_15V_x30_BSE_NKLS","538CC","538","CC","1","15V","x30","BSE"
"Sara","NKLS","538_CC_2_15V_x30_BSE.tif","tif","538_CC_2_15V_x30_BSE_NKLS","538CC","538","CC","2","15V","x30","BSE"
"Sara","NKLS","538_CC_2_15V_x30_BSE.txt","txt","538_CC_2_15V_x30_BSE_NKLS","538CC","538","CC","2","15V","x30","BSE"
"Sara","NKLS","539_CV_1_15V_x30_BSE.tif","tif","539_CV_1_15V_x30_BSE_NKLS","539CV","539","CV","1","15V","x30","BSE"
"Sara","NKLS","539_CV_1_15V_x30_BSE.txt","txt","539_CV_1_15V_x30_BSE_NKLS","539CV","539","CV","1","15V","x30","BSE"
"Sara","NKLS","539_CV_2_15V_x30_BSE.tif","tif","539_CV_2_15V_x30_BSE_NKLS","539CV","539","CV","2","15V","x30","BSE"
"Sara","NKLS","539_CV_2_15V_x30_BSE.txt","txt","539_CV_2_15V_x30_BSE_NKLS","539CV","539","CV","2","15V","x30","BSE"
"Sara","NKLS","540_CC_1_15v_x30_BSE.tif","tif","540_CC_1_15v_x30_BSE_NKLS","540CC","540","CC","1","15v","x30","BSE"
"Sara","NKLS","540_CC_1_15v_x30_BSE.txt","txt","540_CC_1_15v_x30_BSE_NKLS","540CC","540","CC","1","15v","x30","BSE"
"Sara","NKLS","540_CV_1_15v_x30_BSE.tif","tif","540_CV_1_15v_x30_BSE_NKLS","540CV","540","CV","1","15v","x30","BSE"
"Sara","NKLS","540_CV_1_15v_x30_BSE.txt","txt","540_CV_1_15v_x30_BSE_NKLS","540CV","540","CV","1","15v","x30","BSE"
"Sara","NKLS","541_CV_1_15v_x30_BSE.tif","tif","541_CV_1_15v_x30_BSE_NKLS","541CV","541","CV","1","15v","x30","BSE"
"Sara","NKLS","541_CV_1_15v_x30_BSE.txt","txt","541_CV_1_15v_x30_BSE_NKLS","541CV","541","CV","1","15v","x30","BSE"
"Sara","NKLS","541_CV_2_15v_x30_BSE.tif","tif","541_CV_2_15v_x30_BSE_NKLS","541CV","541","CV","2","15v","x30","BSE"
"Sara","NKLS","541_CV_2_15v_x30_BSE.txt","txt","541_CV_2_15v_x30_BSE_NKLS","541CV","541","CV","2","15v","x30","BSE"
